Number;Name;Platform;Year;Genre;Publisher;Cluster
1443;Grand Theft Auto: Chinatown Wars;DS;2009;Action;Take-Two Interactive;7
1464;Max Payne 2: The Fall of Max Payne;PS2;2003;Shooter;Take-Two Interactive;7
1472;NBA 2K14;PS4;2013;Sports;Take-Two Interactive;7
1539;Midnight Club 3: DUB Edition (America weekly sales);PS2;2005;Racing;Take-Two Interactive;7
1549;Manhunt;PS2;2003;Action;Take-Two Interactive;7
1559;NBA 2K9;X360;2008;Sports;Take-Two Interactive;7
1566;Rockstar Games presents Table Tennis;Wii;2007;Sports;Take-Two Interactive;7
1648;Max Payne;XB;2001;Shooter;Take-Two Interactive;7
1675;WWE 2K16;PS4;2015;Sports;Take-Two Interactive;7
1686;WWE 2K14;PS3;2013;Sports;Take-Two Interactive;7
1703;NBA 2K17;PS4;2016;Sports;Take-Two Interactive;7
1746;Midnight Club 3: DUB Edition Remix;PS2;2006;Racing;Take-Two Interactive;7
1769;Red Dead Redemption: Undead Nightmare;PS3;2010;Action;Take-Two Interactive;7
1784;Action Bass;PS;2000;Action;Take-Two Interactive;7
1799;Royal Palace of White Sword and The City of Gentiles;PS2;2005;Role-Playing;Take-Two Interactive;7
1810;WWE 2K15;PS4;2014;Sports;Take-Two Interactive;7
1813;WWE 2K14;X360;2013;Sports;Take-Two Interactive;7
1898;Grand Theft Auto V;PC;2015;Action;Take-Two Interactive;7
1904;Grand Theft Auto: Chinatown Wars;PSP;2009;Action;Take-Two Interactive;7
1923;Red Dead Redemption: Undead Nightmare;X360;2010;Action;Take-Two Interactive;7
1924;Bully: Scholarship Edition;X360;2008;Action;Take-Two Interactive;7
1958;Dora the Explorer: Dora Saves the Mermaids;DS;2007;Platform;Take-Two Interactive;7
2098;Midnight Club: LA Remix;PSP;2008;Racing;Take-Two Interactive;7
2122;Grand Theft Auto: San Andreas;PC;2005;Action;Take-Two Interactive;7
2134;NBA 2K10;X360;2009;Sports;Take-Two Interactive;7
2140;Grand Theft Auto: Vice City Stories;PS2;2007;Action;Take-Two Interactive;7
2141;NBA 2K16;X360;2015;Sports;Take-Two Interactive;7
2190;Evolve;PS4;2015;Shooter;Take-Two Interactive;7
2215;Bully;PS2;2006;Action;Take-Two Interactive;7
2222;Nickelodeon Fit;Wii;2010;Sports;Take-Two Interactive;7
2226;Borderlands 2;PC;2012;Shooter;Take-Two Interactive;7
2359;Grand Theft Auto IV;PC;2008;Action;Take-Two Interactive;7
2365;NBA 2K6;PS2;2005;Action;Take-Two Interactive;7
2379;NBA 2K14;XOne;2013;Sports;Take-Two Interactive;7
2435;NBA 2K8;X360;2007;Sports;Take-Two Interactive;7
2445;WWE 2K15;PS3;2014;Sports;Take-Two Interactive;7
2460;NBA 2K10;PS3;2009;Sports;Take-Two Interactive;7
2471;Duke Nukem Forever;X360;2011;Shooter;Take-Two Interactive;7
2473;Borderlands: The Handsome Collection;PS4;2015;Shooter;Take-Two Interactive;7
2488;Borderlands 2;PSV;2014;Shooter;Take-Two Interactive;7
2498;Sid Meier's Civilization Revolution;X360;2008;Strategy;Take-Two Interactive;7
2579;NBA 2K16;PS3;2015;Sports;Take-Two Interactive;7
2608;Motocross Mania;PS;2001;Racing;Take-Two Interactive;7
2623;Sid Meier's Civilization Revolution;PS3;2008;Strategy;Take-Two Interactive;7
2650;NBA 2K7;PS2;2006;Sports;Take-Two Interactive;7
2668;Duke Nukem Forever;PS3;2011;Shooter;Take-Two Interactive;7
2725;Rockstar Games presents Table Tennis;X360;2006;Sports;Take-Two Interactive;7
2759;Borderlands: The Pre-Sequel;X360;2014;Shooter;Take-Two Interactive;7
2780;Midnight Club 3: DUB Edition;XB;2005;Racing;Take-Two Interactive;7
2826;XCOM: Enemy Unknown;PC;2012;Strategy;Take-Two Interactive;7
2866;Top Spin 4;PS3;2011;Sports;Take-Two Interactive;7
2943;WWE 2K15;X360;2014;Sports;Take-Two Interactive;7
3014;The Darkness;PS3;2007;Shooter;Take-Two Interactive;7
3036;BioShock Infinite;PC;2013;Shooter;Take-Two Interactive;7
3049;Borderlands: The Pre-Sequel;PS3;2014;Shooter;Take-Two Interactive;7
3053;Pro Pinball: Big Race USA;PS;1999;Simulation;Take-Two Interactive;7
3144;Max Payne 2: The Fall of Max Payne;XB;2003;Shooter;Take-Two Interactive;7
3147;NBA 2K17;XOne;2016;Sports;Take-Two Interactive;7
3149;XCOM: Enemy Unknown;X360;2012;Strategy;Take-Two Interactive;7
3254;Evolve;XOne;2015;Shooter;Take-Two Interactive;7
3286;NBA 2K9;PS3;2008;Sports;Take-Two Interactive;7
3297;New Carnival Games;Wii;2010;Misc;Take-Two Interactive;7
3345;NBA 2K8;PS2;2007;Sports;Take-Two Interactive;7
3370;XCOM: Enemy Unknown;PS3;2012;Strategy;Take-Two Interactive;7
3412;Go Diego Go! Great Dinosaur Rescue;Wii;2008;Action;Take-Two Interactive;7
3440;Top Spin 3;Wii;2008;Action;Take-Two Interactive;7
3458;WWE 2K16;XOne;2015;Sports;Take-Two Interactive;7
3484;NBA 2K7;X360;2006;Sports;Take-Two Interactive;7
3485;WWE 2K16;PS3;2015;Sports;Take-Two Interactive;7
3505;Top Spin 3;PS3;2008;Action;Take-Two Interactive;7
3542;Dora The Explorer: Dora Saves the Snow Princess;Wii;2008;Platform;Take-Two Interactive;7
3548;Spec Ops: The Line;PS3;2012;Shooter;Take-Two Interactive;7
3558;Top Spin 3;X360;2008;Action;Take-Two Interactive;7
3594;Manhunt 2;PS2;2007;Action;Take-Two Interactive;7
3613;Major League Baseball 2K5;XB;2005;Sports;Take-Two Interactive;7
3615;WWE 2K15;XOne;2014;Sports;Take-Two Interactive;7
3660;NBA 2K8;PS3;2007;Sports;Take-Two Interactive;7
3687;Red Dead Revolver;XB;2004;Shooter;Take-Two Interactive;7
3714;Manhunt 2;Wii;2007;Action;Take-Two Interactive;7
3809;Oni;PS2;2001;Action;Take-Two Interactive;7
3812;The Warriors;PS2;2005;Action;Take-Two Interactive;7
3815;Go Diego Go! Safari Rescue;Wii;2008;Action;Take-Two Interactive;7
3850;Bully: Scholarship Edition;Wii;2008;Action;Take-Two Interactive;7
3911;Major League Baseball 2K10;X360;2010;Sports;Take-Two Interactive;7
3930;NBA 2K11;Wii;2010;Action;Take-Two Interactive;7
3932;The BIGS;PS2;2007;Sports;Take-Two Interactive;7
3959;Midnight Club II;XB;2003;Racing;Take-Two Interactive;7
3971;WWE 2K16;X360;2015;Sports;Take-Two Interactive;7
3996;Major League Baseball 2K12;X360;2012;Sports;Take-Two Interactive;7
4115;Go Diego Go! Great Dinosaur Rescue;DS;2008;Action;Take-Two Interactive;7
4129;Nickelodeon Team Umizoomi;DS;2011;Action;Take-Two Interactive;7
4206;Major League Baseball 2K13;X360;2013;Sports;Take-Two Interactive;7
4250;Sid Meier's Civilization Revolution;DS;2008;Strategy;Take-Two Interactive;7
4252;Dora The Explorer: Dora Saves the Snow Princess;DS;2008;Platform;Take-Two Interactive;7
4330;NBA 2K13;Wii;2012;Sports;Take-Two Interactive;7
4337;Major League Baseball 2K11;X360;2011;Sports;Take-Two Interactive;7
4448;The Darkness;X360;2007;Shooter;Take-Two Interactive;7
4497;Dora the Explorer: Dora Puppy;DS;2009;Misc;Take-Two Interactive;7
4502;Spec Ops: Covert Assault;PS;2001;Shooter;Take-Two Interactive;7
4527;Spec Ops: The Line;X360;2012;Shooter;Take-Two Interactive;7
4535;Max Payne 3;PC;2012;Shooter;Take-Two Interactive;7
4579;NHL 2K6;PS2;2005;Sports;Take-Two Interactive;7
4589;Top Spin 4;X360;2011;Sports;Take-Two Interactive;7
4658;NBA 2K11;PSP;2010;Action;Take-Two Interactive;7
4691;BioShock;PC;2007;Shooter;Take-Two Interactive;7
4698;Grudge Warriors;PS;1999;Action;Take-Two Interactive;7
4753;NBA 2K11;PS2;2010;Action;Take-Two Interactive;7
4757;NBA 2K9;PS2;2008;Sports;Take-Two Interactive;7
4764;Duke Nukem Forever;PC;2011;Shooter;Take-Two Interactive;7
4771;Borderlands: The Handsome Collection;XOne;2015;Shooter;Take-Two Interactive;7
4797;NBA 2K10;PS2;2009;Sports;Take-Two Interactive;7
4841;Mafia II;PC;2010;Action;Take-Two Interactive;7
4881;Fantastic Four: Rise of the Silver Surfer;PS2;2007;Action;Take-Two Interactive;7
4888;NBA 2K10;Wii;2009;Sports;Take-Two Interactive;7
4908;The Darkness II;X360;2012;Shooter;Take-Two Interactive;7
4913;Thrasher Presents: Skate and Destroy;PS;1998;Sports;Take-Two Interactive;7
5031;NBA 2K7;PS3;2006;Sports;Take-Two Interactive;7
5037;Dora The Explorer: Dora Saves the Snow Princess;PS2;2008;Platform;Take-Two Interactive;7
5101;The BIGS;Wii;2007;Sports;Take-Two Interactive;7
5152;Sid Meier's Civilization: Beyond Earth;PC;2014;Strategy;Take-Two Interactive;7
5200;NHL 2K10;Wii;2009;Sports;Take-Two Interactive;7
5205;NBA 2K6;XB;2005;Action;Take-Two Interactive;7
5222;NBA 2K12;Wii;2011;Sports;Take-Two Interactive;7
5236;Disney's The Haunted Mansion;PS2;2003;Platform;Take-Two Interactive;7
5259;NHL 2K10;PS2;2009;Sports;Take-Two Interactive;7
5262;Wonder Pets! Save the Animals!;DS;2008;Adventure;Take-Two Interactive;7
5320;College Hoops 2K8;PS2;2007;Sports;Take-Two Interactive;7
5464;The Darkness II;PS3;2012;Shooter;Take-Two Interactive;7
5549;Carnival Games: Monkey See, Monkey Do!;X360;2011;Misc;Take-Two Interactive;7
5572;Major League Baseball 2K6;XB;2006;Sports;Take-Two Interactive;7
5578;NBA 2K10;PSP;2009;Sports;Take-Two Interactive;7
5611;Prey;X360;2006;Shooter;Take-Two Interactive;7
5612;Birthday Party Bash;Wii;2009;Misc;Take-Two Interactive;7
5622;Go, Diego, Go!: Great Dinosaur Rescue;PS2;2008;Action;Take-Two Interactive;7
5664;Manhunt 2;PSP;2007;Action;Take-Two Interactive;7
5748;KISS Pinball;PS;2001;Action;Take-Two Interactive;7
5759;Bass Hunter 64;N64;1999;Sports;Take-Two Interactive;7
5887;Monster Truck Madness 64;N64;1999;Racing;Take-Two Interactive;7
5966;The BIGS 2;Wii;2009;Sports;Take-Two Interactive;7
5994;The Bureau: XCOM Declassified;PS3;2013;Shooter;Take-Two Interactive;7
6020;Ford Mustang: The Legend Lives;PS2;2005;Racing;Take-Two Interactive;7
6073;Borderlands: The Pre-Sequel;PC;2014;Shooter;Take-Two Interactive;7
6122;The Warriors;XB;2005;Action;Take-Two Interactive;7
6125;NHL 2K11;Wii;2010;Sports;Take-Two Interactive;7
6217;The Warriors;PSP;2007;Action;Take-Two Interactive;7
6253;NBA 2K12;PSP;2011;Sports;Take-Two Interactive;7
6266;Q-Ball: Billiards Master;PS2;2000;Sports;Take-Two Interactive;7
6368;Major League Baseball 2K10;Wii;2010;Sports;Take-Two Interactive;7
6387;Dora the Explorer: Dora Saves the Crystal Kingdom;Wii;2009;Misc;Take-Two Interactive;7
6396;The BIGS;X360;2007;Sports;Take-Two Interactive;7
6425;Major League Baseball 2K9;Wii;2009;Sports;Take-Two Interactive;7
6435;Don King Boxing;Wii;2009;Sports;Take-Two Interactive;7
6445;All-Pro Football 2K8;X360;2007;Sports;Take-Two Interactive;7
6456;Rune: Viking Warlord;PS2;2001;Action;Take-Two Interactive;7
6483;Ford Racing 3;PS2;2004;Racing;Take-Two Interactive;7
6507;The Elder Scrolls IV: Oblivion;PC;2006;Role-Playing;Take-Two Interactive;7
6591;The Backyardigans;DS;2009;Adventure;Take-Two Interactive;7
6605;Nickelodeon Dance;Wii;2011;Misc;Take-Two Interactive;7
6624;Surfing H3O;PS2;2000;Sports;Take-Two Interactive;7
6685;Don King Presents: Prizefighter;X360;2008;Sports;Take-Two Interactive;7
6689;Wheel of Fortune;N64;1997;Misc;Take-Two Interactive;7
6707;L.A. Noire: The Complete Edition;PC;2011;Adventure;Take-Two Interactive;7
6808;BioShock 2;PC;N/A;Shooter;Take-Two Interactive;7
6883;Ghost Rider;PSP;2007;Action;Take-Two Interactive;7
6907;Grand Theft Auto;GBA;2004;Action;Take-Two Interactive;7
6945;The Bureau: XCOM Declassified;X360;2013;Shooter;Take-Two Interactive;7
6955;New Carnival Games;DS;2010;Misc;Take-Two Interactive;7
7029;NBA 2K6;X360;2005;Action;Take-Two Interactive;7
7051;Major League Baseball 2K10;PS2;2010;Sports;Take-Two Interactive;7
7053;Mafia;XB;2004;Action;Take-Two Interactive;7
7135;Spec Ops: The Line;PC;2012;Shooter;Take-Two Interactive;7
7182;Battleborn;PS4;2016;Shooter;Take-Two Interactive;7
7283;Saltwater Sportfishing;PS;2001;Sports;Take-Two Interactive;7
7340;College Hoops 2K7;X360;2006;Sports;Take-Two Interactive;7
7359;The BIGS 2;X360;2009;Sports;Take-Two Interactive;7
7364;NHL 2K6;XB;2005;Sports;Take-Two Interactive;7
7366;World Poker Tour;PS2;2005;Misc;Take-Two Interactive;7
7526;Major League Baseball 2K11;PS3;2011;Sports;Take-Two Interactive;7
7532;Midnight Club 3: DUB Edition Remix;XB;2006;Racing;Take-Two Interactive;7
7566;XCOM 2;PC;2016;Strategy;Take-Two Interactive;7
7594;Ni Hao, Kai-lan: New Year's Celebration;DS;2009;Misc;Take-Two Interactive;7
7644;The BIGS 2;PS2;2009;Sports;Take-Two Interactive;7
7653;BioShock The Collection;PS4;2016;Shooter;Take-Two Interactive;7
7678;Sid Meier's Pirates!;PSP;2007;Strategy;Take-Two Interactive;7
7717;Family Guy;PSP;2006;Action;Take-Two Interactive;7
7755;Ni Hao, Kai-lan: Super Game Day;Wii;2009;Misc;Take-Two Interactive;7
7774;Manhunt;XB;2004;Action;Take-Two Interactive;7
7808;Major League Baseball 2K12;PS3;2012;Sports;Take-Two Interactive;7
7881;NBA 2K11;PC;2010;Action;Take-Two Interactive;7
7999;Major League Baseball 2K10;PS3;2010;Sports;Take-Two Interactive;7
8010;Close Combat: First to Fight;XB;2005;Shooter;Take-Two Interactive;7
8018;Ringling Bros. and Barnum & Bailey Circus;Wii;2009;Action;Take-Two Interactive;7
8029;Evolve;PC;2015;Shooter;Take-Two Interactive;7
8035;Borderlands;PC;2009;Shooter;Take-Two Interactive;7
8156;Ball Breakers;PS;2000;Action;Take-Two Interactive;7
8165;College Hoops 2K7;PS3;2007;Sports;Take-Two Interactive;7
8191;College Hoops 2K8;X360;2007;Sports;Take-Two Interactive;7
8242;Major League Baseball 2K6;GC;2006;Sports;Take-Two Interactive;7
8264;NHL 2K9;X360;2008;Sports;Take-Two Interactive;7
8292;Ringling Bros. and Barnum & Bailey: Circus Friends;DS;2009;Action;Take-Two Interactive;7
8301;Top Spin 2;X360;2006;Sports;Take-Two Interactive;7
8352;Sid Meier's Civilization IV;PC;2005;Strategy;Take-Two Interactive;7
8392;State of Emergency;XB;2003;Action;Take-Two Interactive;7
8425;Go, Diego, Go! Safari Rescue;DS;2007;Adventure;Take-Two Interactive;7
8467;Sid Meier's Pirates!;Wii;2010;Strategy;Take-Two Interactive;7
8480;Dungeon Siege: Throne of Agony;PSP;2006;Role-Playing;Take-Two Interactive;7
8528;Major League Baseball 2K12;Wii;2012;Sports;Take-Two Interactive;7
8556;The BIGS;PS3;2007;Sports;Take-Two Interactive;7
8578;Major League Baseball 2K11;Wii;2011;Sports;Take-Two Interactive;7
8580;NBA 2K12;PC;2011;Sports;Take-Two Interactive;7
8623;Amped 3;X360;2005;Sports;Take-Two Interactive;7
8653;Nicktoons: MLB;Wii;2011;Sports;Take-Two Interactive;7
8715;Top Spin 4;Wii;2011;Sports;Take-Two Interactive;7
8740;All-Pro Football 2K8;PS3;2007;Sports;Take-Two Interactive;7
8745;NHL 2K10;PS3;2009;Sports;Take-Two Interactive;7
8802;Major League Baseball 2K10;DS;2010;Sports;Take-Two Interactive;7
8807;Fantastic Four: Rise of the Silver Surfer;PS3;2007;Action;Take-Two Interactive;7
8818;Serious Sam;XB;2002;Shooter;Take-Two Interactive;7
8865;Space Station Silicon Valley;N64;1997;Adventure;Take-Two Interactive;7
8893;Major League Baseball 2K13;PS3;2013;Sports;Take-Two Interactive;7
8925;Baseball Blast!;Wii;2009;Sports;Take-Two Interactive;7
8936;NHL 2K10;X360;2009;Sports;Take-Two Interactive;7
9113;The Da Vinci Code;PS2;2006;Action;Take-Two Interactive;7
9190;Sid Meier's Pirates!;XB;2005;Strategy;Take-Two Interactive;7
9201;The Darkness II;PC;2012;Shooter;Take-Two Interactive;7
9216;College Hoops 2K8;PS3;2007;Sports;Take-Two Interactive;7
9228;NBA 2K13;WiiU;2012;Sports;Take-Two Interactive;7
9256;Let's Cheer;X360;2011;Misc;Take-Two Interactive;7
9260;Major League Baseball 2K8;Wii;2008;Sports;Take-Two Interactive;7
9344;NHL 2K8;X360;2007;Sports;Take-Two Interactive;7
9358;NHL 2K9;PS3;2008;Sports;Take-Two Interactive;7
9388;NHL 2K9;PS2;2008;Sports;Take-Two Interactive;7
9446;The BIGS 2;PS3;2009;Sports;Take-Two Interactive;7
9505;Nicktoons: MLB;X360;2011;Sports;Take-Two Interactive;7
9525;Borderlands: Double Game Add-On Pack;X360;2010;Shooter;Take-Two Interactive;7
9580;City Crisis;PS2;2001;Simulation;Take-Two Interactive;7
9588;Torino 2006;PS2;2006;Sports;Take-Two Interactive;7
9638;The Stronghold Collection;PC;2009;Strategy;Take-Two Interactive;7
9648;Battleborn;XOne;2016;Shooter;Take-Two Interactive;7
9672;NHL 2K7;PS3;2006;Sports;Take-Two Interactive;7
9750;Major League Baseball 2K8 Fantasy All-Stars;DS;2008;Sports;Take-Two Interactive;7
9774;Zathura;PS2;2005;Adventure;Take-Two Interactive;7
9828;Dora the Explorer: Dora Saves the Mermaids;PS2;2008;Platform;Take-Two Interactive;7
9829;Grand Theft Auto: San Andreas;X360;2008;Action;Take-Two Interactive;7
9834;College Hoops 2K6;X360;2006;Sports;Take-Two Interactive;7
9985;Fantastic Four: Rise of the Silver Surfer;X360;2007;Action;Take-Two Interactive;7
10014;Nickelodeon Dance;X360;2011;Misc;Take-Two Interactive;7
10147;Dora's Big Birthday Adventure;Wii;2010;Misc;Take-Two Interactive;7
10334;The BIGS;PSP;2007;Sports;Take-Two Interactive;7
10375;Martian Gothic: Unification;PS;2001;Adventure;Take-Two Interactive;7
10381;Grand Theft Auto: Mission Pack #1, London 1969;PS;1998;Adventure;Take-Two Interactive;7
10431;Top Spin;PS2;2005;Sports;Take-Two Interactive;7
10449;Motocross Mania 3;PS2;2004;Racing;Take-Two Interactive;7
10478;Nicktoons: MLB;DS;2011;Sports;Take-Two Interactive;7
10518;Dora's Cooking Club;DS;2010;Misc;Take-Two Interactive;7
10535;Dora & Kai-Lan's Pet Shelter;DS;2011;Strategy;Take-Two Interactive;7
10587;Disney's The Haunted Mansion;GC;2003;Platform;Take-Two Interactive;7
10654;NHL 2K6;X360;2005;Sports;Take-Two Interactive;7
10679;College Hoops 2K6;XB;2005;Sports;Take-Two Interactive;7
10718;The BIGS 2;PSP;2009;Sports;Take-Two Interactive;7
10755;Major League Baseball 2K11;DS;2011;Sports;Take-Two Interactive;7
10835;Ghostbusters: The Video Game (DS Version);PC;2010;Action;Take-Two Interactive;7
10875;Scaler;PS2;2004;Platform;Take-Two Interactive;7
10898;Ford Mustang: The Legend Lives;XB;2005;Racing;Take-Two Interactive;7
10902;Dora the Explorer: Dora Saves the Crystal Kingdom;PS2;2009;Misc;Take-Two Interactive;7
10949;NBA 2K16;PC;2015;Sports;Take-Two Interactive;7
10951;NHL 2K8;PS3;2007;Sports;Take-Two Interactive;7
10966;Dora's Big Birthday Adventure;DS;2010;Misc;Take-Two Interactive;7
10989;Disney's The Haunted Mansion;XB;2003;Platform;Take-Two Interactive;7
10996;Beaterator;PSP;2009;Misc;Take-Two Interactive;7
11044;Carnival Games: Wild West 3D;3DS;2011;Misc;Take-Two Interactive;7
11085;MLB Superstars;Wii;2008;Sports;Take-Two Interactive;7
11143;Major League Baseball 2K12;PSP;2012;Sports;Take-Two Interactive;7
11147;MLB 2K9 Fantasy All-Stars;DS;2009;Sports;Take-Two Interactive;7
11161;Ford Racing 3;XB;2004;Racing;Take-Two Interactive;7
11199;Major League Baseball 2K7;PSP;2007;Sports;Take-Two Interactive;7
11206;Royal Palace of White Sword and The City of Gentiles;XB;2005;Role-Playing;Take-Two Interactive;7
11274;Don King Boxing;DS;2009;Sports;Take-Two Interactive;7
11318;Major League Baseball 2K12;DS;2012;Sports;Take-Two Interactive;7
11328;NHL 2K7;X360;2006;Sports;Take-Two Interactive;7
11400;Major League Baseball 2K11;PC;2011;Sports;Take-Two Interactive;7
11410;Fatal Frame III: The Tormented;PS2;2005;Action;Take-Two Interactive;7
11440;Diego's Build & Rescue;DS;2010;Action;Take-Two Interactive;7
11450;Smuggler's Run: Warzones;GC;2002;Misc;Take-Two Interactive;7
11552;BioShock The Collection;XOne;2016;Shooter;Take-Two Interactive;7
11623;MLB Front Office Manager;PS3;2009;Sports;Take-Two Interactive;7
11661;Ni Hao, Kai-lan: Super Game Day;PS2;2009;Misc;Take-Two Interactive;7
11675;Monkey Hero;PS;1998;Action;Take-Two Interactive;7
11917;Alexi Lalas International Soccer;PS;1998;Sports;Take-Two Interactive;7
11990;MLB Front Office Manager;X360;2009;Sports;Take-Two Interactive;7
12003;NHL 2K9;Wii;2008;Sports;Take-Two Interactive;7
12007;Battleborn;PC;2016;Shooter;Take-Two Interactive;7
12104;Sudoku Fever;GBA;2006;Puzzle;Take-Two Interactive;7
12168;Major League Baseball 2K10;PSP;2010;Sports;Take-Two Interactive;7
12204;Tokobot;PSP;2005;Platform;Take-Two Interactive;7
12252;Wings of War;XB;2004;Simulation;Take-Two Interactive;7
12268;World Poker Tour;XB;2005;Misc;Take-Two Interactive;7
12460;Call of Cthulhu: Dark Corners of the Earth;XB;2005;Adventure;Take-Two Interactive;7
12497;Serious Sam II;XB;2005;Shooter;Take-Two Interactive;7
12559;JoJo's Bizarre Adventure: All Star Battle;3DS;2012;Fighting;Take-Two Interactive;7
12602;Splat Renegade Paintball;XB;2005;Sports;Take-Two Interactive;7
12677;MLB Power Pros 2008;DS;2008;Sports;Take-Two Interactive;7
12871;NBA 2K17;X360;2016;Sports;Take-Two Interactive;7
12914;Major League Baseball 2K11;PSP;2011;Sports;Take-Two Interactive;7
12954;The Bureau: XCOM Declassified;PC;2013;Shooter;Take-Two Interactive;7
13016;The BIGS 2;DS;2009;Sports;Take-Two Interactive;7
13035;Top Spin 2;DS;2006;Sports;Take-Two Interactive;7
13201;Major League Baseball 2K11;PS2;2011;Sports;Take-Two Interactive;7
13234;NBA 2K17;PS3;2016;Sports;Take-Two Interactive;7
13370;Mafia;PC;2002;Action;Take-Two Interactive;7
