Number;Name;Platform;Year;Genre;Publisher;Cluster
492;Cooking Mama: Cook Off;Wii;2007;Simulation;505 Games;15
504;Imagine: Babyz;DS;2007;Simulation;Ubisoft;15
516;BioShock;X360;2007;Shooter;Take-Two Interactive;15
524;Imagine: Fashion Designer;DS;2007;Simulation;Ubisoft;15
543;Sonic and the Secret Rings;Wii;2007;Platform;Sega;15
576;LEGO Star Wars: The Complete Saga;X360;2007;Action;LucasArts;15
582;Mario Strikers Charged;Wii;2007;Sports;Nintendo;15
591;Ratchet & Clank Future: Tools of Destruction;PS3;2007;Platform;Sony Computer Entertainment;19
596;Monster Hunter Freedom 2;PSP;2007;Role-Playing;Capcom;16
601;Madden NFL 08;PS2;2007;Sports;Electronic Arts;15
611;Game Party;Wii;2007;Misc;Midway Games;15
645;Need for Speed: ProStreet;PS2;2007;Racing;Electronic Arts;19
659;LEGO Star Wars: The Complete Saga;PS3;2007;Action;LucasArts;15
666;Madden NFL 08;X360;2007;Sports;Electronic Arts;15
678;WWE SmackDown vs Raw 2008;PS2;2007;Fighting;THQ;19
712;Guitar Hero III: Legends of Rock;PS3;2007;Misc;Activision;15
714;Resident Evil 4;Wii;2007;Action;Capcom;15
737;Guitar Hero II;X360;2007;Misc;Activision;15
741;High School Musical: Makin' the Cut!;DS;2007;Puzzle;Disney Interactive Studios;15
763;Call of Duty: Roads to Victory;PSP;2007;Shooter;Activision;19
804;Dance Dance Revolution: Hottest Party;Wii;2007;Simulation;Konami Digital Entertainment;15
815;Need for Speed: ProStreet;X360;2007;Racing;Electronic Arts;15
823;Need for Speed: ProStreet;PS3;2007;Racing;Electronic Arts;19
830;PGR4 - Project Gotham Racing 4;X360;2007;Racing;Microsoft Game Studios;19
846;TouchMaster;DS;2007;Puzzle;Midway Games;19
920;High School Musical: Sing It!;PS2;2007;Misc;Disney Interactive Studios;19
938;Rayman Raving Rabbids 2;Wii;2007;Misc;Ubisoft;19
951;The Orange Box;X360;2007;Shooter;Electronic Arts;15
957;Metroid Prime 3: Corruption;Wii;2007;Shooter;Nintendo;19
982;High School Musical: Sing It!;Wii;2007;Misc;Disney Interactive Studios;15
1000;2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures;GBA;2007;Action;THQ;15
1003;FIFA Soccer 08;PS3;2007;Sports;Electronic Arts;19
1009;Crackdown;X360;2007;Shooter;Microsoft Game Studios;15
1045;Deal or No Deal;DS;2007;Misc;Mindscape;15
1054;Personal Trainer: Math;DS;2007;Puzzle;Nintendo;19
1057;Ben 10: Protector of Earth;DS;2007;Action;D3Publisher;19
1074;Star Wars Battlefront: Renegade Squadron;PSP;2007;Shooter;LucasArts;19
1082;MySims;Wii;2007;Simulation;Electronic Arts;19
1100;Heavenly Sword;PS3;2007;Action;Sony Computer Entertainment;19
1114;Dragon Quest IV: Chapters of the Chosen;DS;2007;Role-Playing;Square Enix;17
1148;SpongeBob's Atlantis SquarePantis;DS;2007;Action;THQ;15
1166;Pro Evolution Soccer 2008;PS3;2007;Sports;Konami Digital Entertainment;20
1179;Hannah Montana: Music Jam;DS;2007;Action;Disney Interactive Studios;15
1211;Resident Evil: The Umbrella Chronicles;Wii;2007;Action;Capcom;19
1222;The Simpsons Game;DS;2007;Action;Electronic Arts;19
1231;Sonic Rivals 2;PSP;2007;Racing;Sega;19
1251;The Simpsons Game;PS2;2007;Action;Electronic Arts;19
1287;Imagine: Master Chef;DS;2007;Simulation;Ubisoft;19
1297;Disney Princess: Magical Jewels;DS;2007;Adventure;Disney Interactive Studios;15
1324;Smarty Pants;Wii;2007;Misc;Electronic Arts;19
1333;My Word Coach;DS;2007;Misc;Ubisoft;19
1334;Hello Kitty Party;DS;2007;Misc;Rising Star Games;19
1335;SingStar Pop;PS2;2007;Misc;Sony Computer Entertainment;20
1340;WWE SmackDown vs Raw 2008;X360;2007;Fighting;THQ;19
1392;Final Fantasy XII: Revenant Wings;DS;2007;Role-Playing;Square Enix;19
1398;Hannah Montana: Spotlight World Tour;Wii;2007;Action;Disney Interactive Studios;19
1410;Disney Princess: Enchanted Journey;Wii;2007;Adventure;Disney Interactive Studios;15
1441;Namco Museum DS;DS;2007;Misc;Atari;15
1442;FIFA Soccer 08;PSP;2007;Sports;Electronic Arts;20
1455;FIFA Soccer 08;X360;2007;Sports;Electronic Arts;19
1467;WWE SmackDown vs Raw 2008;PS3;2007;Fighting;THQ;19
1482;Petz Wild Animals: Dolphinz;DS;2007;Simulation;Ubisoft;19
1521;EA Playground;Wii;2007;Sports;Electronic Arts;19
1566;Rockstar Games presents Table Tennis;Wii;2007;Sports;Take-Two Interactive;19
1575;Final Fantasy IV;DS;2007;Simulation;Square Enix;18
1580;Ratatouille;DS;2007;Action;THQ;19
1583;Winter Sports: The Ultimate Challenge;Wii;2007;Sports;RTL;19
1588;Tom Clancy's Rainbow Six: Vegas;PS3;2007;Shooter;Ubisoft;19
1601;Transformers: Autobots / Decepticons;DS;2007;Action;Activision;15
1603;Diddy Kong Racing DS;DS;2007;Racing;Nintendo;15
1612;Ben 10: Protector of Earth;Wii;2007;Action;D3Publisher;19
1621;Medal of Honor: Airborne;PS3;2007;Shooter;Electronic Arts;20
1633;The Sims 2: Castaway;Wii;2007;Simulation;Electronic Arts;19
1664;Shrek / Shrek 2 2-in-1 Gameboy Advance Video;GBA;2007;Misc;N/A;19
1690;WWE SmackDown vs Raw 2008;PSP;2007;Fighting;THQ;19
1726;Sonic Rush Adventure;DS;2007;Platform;Sega;19
1745;Final Fantasy Tactics: The War of the Lions;PSP;2007;Role-Playing;Square Enix;19
1748;SingStar;PS3;2007;Misc;Sony Computer Entertainment;19
1757;Medal of Honor Heroes 2;PSP;2007;Shooter;Electronic Arts;19
1766;Ninja Gaiden Sigma;PS3;2007;Action;Eidos Interactive;19
1771;Call of Duty 4: Modern Warfare;PC;2007;Shooter;Activision;20
1788;Hot Shots Golf: Out of Bounds;PS3;2007;Sports;Sony Computer Entertainment;19
1831;Worldwide Soccer Manager 2008;PC;2007;Sports;Russel;20
1835;Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions);PS2;2007;Action;Activision;19
1837;Guitar Hero Encore: Rocks The 80s;PS2;2007;Misc;RedOctane;19
1844;Need for Speed: ProStreet;Wii;2007;Racing;Electronic Arts;19
1851;Medal of Honor: Airborne;X360;2007;Shooter;Electronic Arts;19
1856;Petz Dogz 2;DS;2007;Simulation;Ubisoft;19
1874;The Simpsons Game;PSP;2007;Action;Electronic Arts;20
1878;Virtua Fighter 5;PS3;2007;Fighting;Sega;20
1892;Endless Ocean;Wii;2007;Adventure;Nintendo;19
1906;The Orange Box;PS3;2007;Shooter;Electronic Arts;19
1928;Pro Evolution Soccer 2008;X360;2007;Sports;Konami Digital Entertainment;20
1945;DiRT;PS3;2007;Racing;Codemasters;20
1946;Call of Duty 4: Modern Warfare;DS;2007;Shooter;Activision;19
1958;Dora the Explorer: Dora Saves the Mermaids;DS;2007;Platform;Take-Two Interactive;19
1962;Virtua Tennis 3;PS3;2007;Sports;Sega;20
1964;Warhawk;PS3;2007;Simulation;Sony Computer Entertainment;19
1965;Apollo Justice: Ace Attorney;DS;2007;Adventure;Capcom;19
1982;Imagine: Animal Doctor;DS;2007;Simulation;Ubisoft;19
1989;The Simpsons Game;X360;2007;Action;Electronic Arts;19
1993;Dragon Ball Z: Budokai Tenkaichi 3;Wii;2007;Fighting;Atari;19
2011;Tom Clancy's Ghost Recon Advanced Warfighter 2;PS3;2007;Shooter;Ubisoft;19
2017;Tiger Woods PGA Tour 08;Wii;2007;Sports;Electronic Arts;19
2023;The Simpsons Game;Wii;2007;Action;Electronic Arts;19
2028;FIFA Soccer 08;Wii;2007;Sports;Electronic Arts;19
2029;Naruto: Clash of Ninja Revolution;Wii;2007;Fighting;Tomy Corporation;19
2030;Tom Clancy's Ghost Recon Advanced Warfighter 2;X360;2007;Shooter;Ubisoft;19
2033;Petz: Catz 2;DS;2007;Simulation;Ubisoft;19
2038;Ace Combat 6: Fires of Liberation;X360;2007;Simulation;Atari;19
2101;WWE SmackDown vs Raw 2008;Wii;2007;Fighting;THQ;19
2130;Madden NFL 08;PS3;2007;Sports;Electronic Arts;19
2140;Grand Theft Auto: Vice City Stories;PS2;2007;Action;Take-Two Interactive;19
2232;Build-A-Bear Workshop;DS;2007;Simulation;Game Factory;19
2239;MLB 07: The Show;PS2;2007;Sports;Sony Computer Entertainment;19
2272;Lost Odyssey;X360;2007;Role-Playing;Microsoft Game Studios;19
2276;AMF Bowling Pinbusters!;Wii;2007;Sports;Bethesda Softworks;19
2295;The Simpsons Game;PS3;2007;Action;Electronic Arts;19
2314;Spider-Man 3;PS2;2007;Platform;Activision;19
2329;Madden NFL 08;Wii;2007;Sports;Electronic Arts;19
2366;Buzz! The Mega Quiz;PS2;2007;Misc;Sony Computer Entertainment;19
2380;DiRT;X360;2007;Racing;Codemasters;19
2406;Warriors Orochi;PS2;2007;Action;Tecmo Koei;20
2410;SingStar '90s;PS2;2007;Misc;Sony Computer Entertainment;20
2412;Tomb Raider: Anniversary;Wii;2007;Action;Eidos Interactive;20
2416;The World Ends With You;DS;2007;Role-Playing;Square Enix;19
2431;FIFA Soccer 08;DS;2007;Sports;Electronic Arts;20
2435;NBA 2K8;X360;2007;Sports;Take-Two Interactive;19
2440;Blazing Angels: Squadrons of WWII;Wii;2007;Simulation;Ubisoft;19
2442;Harry Potter and the Order of the Phoenix;DS;2007;Action;Electronic Arts;19
2447;Ratatouille;PS2;2007;Action;THQ;19
2467;Harvest Moon: Tree of Tranquility;Wii;2007;Simulation;Rising Star Games;19
2478;Time Crisis 4;PS3;2007;Shooter;Namco Bandai Games;19
2479;Ben 10: Protector of Earth;PS2;2007;Action;D3Publisher;20
2500;I Spy: Fun House;DS;2007;Puzzle;Scholastic Inc.;19
2526;Stranglehold;X360;2007;Shooter;Midway Games;19
2537;Patapon;PSP;2007;Misc;Sony Computer Entertainment;19
2560;Final Fantasy XI: Wings of the Goddess;PS2;2007;Role-Playing;Square Enix;19
2581;The Sims 2: Castaway;PSP;2007;Simulation;Electronic Arts;20
2586;Rayman Raving Rabbids 2;DS;2007;Misc;Ubisoft;19
2604;Final Fantasy Tactics A2: Grimoire of the Rift;DS;2007;Role-Playing;Square Enix;19
2614;Dance Dance Revolution SuperNOVA 2;PS2;2007;Simulation;Konami Digital Entertainment;19
2617;Ghost Squad;Wii;2007;Shooter;Sega;19
2619;Drawn to Life;DS;2007;Action;THQ;19
2624;NCAA Football 08;PS2;2007;Sports;Electronic Arts;19
2637;Buzz! The Hollywood Quiz;PS2;2007;Misc;Sony Computer Entertainment;20
2713;Kane & Lynch: Dead Men;X360;2007;Shooter;Eidos Interactive;19
2721;Kane & Lynch: Dead Men;PS3;2007;Shooter;Eidos Interactive;19
2732;Spectrobes;DS;2007;Role-Playing;Disney Interactive Studios;19
2769;Tom Clancy's Rainbow Six: Vegas;PSP;2007;Shooter;Ubisoft;19
2779;Namco Museum Remix;Wii;2007;Misc;Atari;19
2789;Pirates of the Caribbean: At World's End;PS3;2007;Action;Disney Interactive Studios;20
2790;Tiger Woods PGA Tour 08;PS3;2007;Sports;Electronic Arts;20
2793;Harvest Moon DS: Island of Happiness;DS;2007;Simulation;Rising Star Games;19
2795;The Sims 2: Castaway;DS;2007;Simulation;Electronic Arts;19
2806;Practise English!;DS;2007;Misc;Nintendo;20
2835;NBA Live 08;PS2;2007;Sports;Electronic Arts;19
2841;Major League Baseball 2K7;X360;2007;Sports;Spike;19
2847;Ben 10: Protector of Earth;PSP;2007;Action;D3Publisher;20
2848;Skate;X360;2007;Sports;Electronic Arts;19
2857;Crysis;PC;2007;Shooter;Electronic Arts;20
2861;Dragon Quest Swords: The Masked Queen and the Tower of Mirrors;Wii;2007;Role-Playing;Square Enix;19
2868;Dynasty Warriors 6;PS3;2007;Action;Tecmo Koei;19
2871;Madden NFL 08;PSP;2007;Sports;Electronic Arts;19
2897;Two Worlds;X360;2007;Role-Playing;SouthPeak Games;19
2912;NCAA Football 08;X360;2007;Sports;Electronic Arts;19
2946;Metal Gear Solid: Portable Ops Plus;PSP;2007;Action;Konami Digital Entertainment;19
2948;Shrek the Third;X360;2007;Action;Activision;19
2968;MX vs. ATV Untamed;X360;2007;Racing;THQ;19
2982;Spider-Man 3;PS3;2007;Platform;Activision;20
2988;Hot Shots Golf: Open Tee 2;PSP;2007;Sports;Sony Computer Entertainment;19
2997;Cars: Mater-National Championship;DS;2007;Racing;THQ;19
3009;Unreal Tournament III;PS3;2007;Shooter;Midway Games;19
3010;Final Fantasy Crystal Chronicles: Ring of Fates;DS;2007;Role-Playing;Square Enix;19
3014;The Darkness;PS3;2007;Shooter;Take-Two Interactive;20
3031;Ratatouille;PSP;2007;Action;THQ;20
3047;Phoenix Wright: Ace Attorney - Trials and Tribulations;DS;2007;Adventure;Capcom;19
3057;Tony Hawk's Proving Ground;PS2;2007;Sports;Activision;19
3059;Naruto Shippuden: Ultimate Ninja 4;PS2;2007;Fighting;Atari;20
3077;Wario: Master of Disguise;DS;2007;Platform;Nintendo;19
3091;Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions);PSP;2007;Action;Activision;20
3092;Taiko no Tatsujin DS: Touch de Dokodon!;DS;2007;Misc;Namco Bandai Games;20
3119;SingStar Pop Hits;PS2;2007;Misc;Sony Computer Entertainment;20
3123;SingStar R&B;PS2;2007;Misc;Sony Computer Entertainment;20
3125;MX vs. ATV Untamed;PSP;2007;Racing;THQ;19
3128;Star Ocean: First Departure;PSP;2007;Role-Playing;Square Enix;19
3135;Paws & Claws: Pet Vet;DS;2007;Simulation;THQ;19
3140;Crash of the Titans;PSP;2007;Action;Vivendi Games;20
3154;Stuntman: Ignition;X360;2007;Racing;THQ;20
3167;Sega Rally Revo;PS3;2007;Racing;Sega;20
3178;NBA Live 08;PS3;2007;Sports;Electronic Arts;19
3180;Donkey Kong Barrel Blast;Wii;2007;Racing;Nintendo;20
3191;Juiced 2: Hot Import Nights;X360;2007;Racing;THQ;20
3210;Cabela's Big Game Hunter (2008);Wii;2007;Sports;Activision;19
3225;Shin Megami Tensei: Persona 3 FES;PS2;2007;Role-Playing;Tecmo Koei;20
3266;SpongeBob's Atlantis SquarePantis;Wii;2007;Action;THQ;19
3304;Ganbaru Watashi no Kakei Diary;DS;2007;Misc;Nintendo;20
3315;SimCity DS;DS;2007;Simulation;Electronic Arts;19
3329;Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions);X360;2007;Action;Activision;19
3344;The Golden Compass;DS;2007;Action;Sega;19
3345;NBA 2K8;PS2;2007;Sports;Take-Two Interactive;19
3379;Major League Baseball 2K7;PS2;2007;Sports;Spike;19
3411;Spelling Challenges and more!;DS;2007;Misc;505 Games;19
3413;Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions);Wii;2007;Action;Activision;19
3429;Final Fantasy Anniversary Edition;PSP;2007;Role-Playing;Square Enix;19
3441;Petz Dogz 2;Wii;2007;Simulation;Ubisoft;19
3478;Mega Man Star Force 2: Zerker x Ninja / Saurian;DS;2007;Action;Capcom;19
3508;Blacksite: Area 51;X360;2007;Shooter;Midway Games;19
3509;Spider-Man 3;X360;2007;Platform;Activision;19
3524;Tomb Raider: Anniversary;PSP;2007;Action;Eidos Interactive;20
3527;No More Heroes;Wii;2007;Action;Rising Star Games;19
3550;Bratz 4 Real;DS;2007;Adventure;THQ;19
3563;Odin Sphere;PS2;2007;Role-Playing;Square Enix;20
3564;Donkey Kong Jungle Climber;DS;2007;Platform;Nintendo;19
3572;NCAA March Madness 07;PS2;2007;Sports;Electronic Arts;19
3578;Hotel Dusk: Room 215;DS;2007;Adventure;Nintendo;19
3582;Petz Dogz 2;PS2;2007;Simulation;Ubisoft;19
3590;Tony Hawk's Proving Ground;X360;2007;Sports;Activision;19
3594;Manhunt 2;PS2;2007;Action;Take-Two Interactive;19
3625;Purr Pals;DS;2007;Simulation;THQ;20
3655;TMNT;X360;2007;Action;Ubisoft;19
3656;F.E.A.R.;PS3;2007;Shooter;Vivendi Games;20
3660;NBA 2K8;PS3;2007;Sports;Take-Two Interactive;19
3692;Tiger Woods PGA Tour 08;X360;2007;Sports;Electronic Arts;19
3714;Manhunt 2;Wii;2007;Action;Take-Two Interactive;20
3798;Tom Clancy's Ghost Recon Advanced Warfighter 2;PSP;2007;Shooter;Ubisoft;19
3806;Stuntman: Ignition;PS3;2007;Racing;THQ;20
3807;Are You Smarter Than A 5th Grader?;DS;2007;Misc;Mindscape;19
3819;Silent Hill: Origins;PSP;2007;Action;Konami Digital Entertainment;20
3834;The Golden Compass;PS2;2007;Action;Sega;20
3836;NBA Live 08;X360;2007;Sports;Electronic Arts;19
3853;Ratatouille;PS3;2007;Action;THQ;20
3859;Ratatouille;Wii;2007;Action;THQ;19
3863;Lair;PS3;2007;Action;Sony Computer Entertainment;19
3871;Petz: Hamsterz Life 2;DS;2007;Misc;Ubisoft;19
3878;My Word Coach;Wii;2007;Misc;Ubisoft;19
3904;Fire Emblem: Radiant Dawn;Wii;2007;Strategy;Nintendo;20
3923;Test Drive Unlimited;PSP;2007;Racing;Atari;20
3925;Picross DS;DS;2007;Puzzle;Nintendo;19
3926;Final Fantasy II Anniversary Edition;PSP;2007;Role-Playing;Square Enix;19
3932;The BIGS;PS2;2007;Sports;Take-Two Interactive;20
3939;Paws & Claws: Dogs & Cats Best Friends;DS;2007;Simulation;THQ;19
3974;Boogie;Wii;2007;Misc;Electronic Arts;19
3979;Dance Dance Revolution Universe 2;X360;2007;Simulation;Konami Digital Entertainment;19
3985;NBA Street Homecourt;X360;2007;Sports;Electronic Arts;19
4010;Tomb Raider: Anniversary;PS2;2007;Action;Eidos Interactive;19
4016;Nicktoons: Attack of the Toybots;PS2;2007;Platform;THQ;20
4020;Cars Mater-National Championship;Wii;2007;Racing;THQ;19
4077;Crash of the Titans;DS;2007;Action;Vivendi Games;19
4080;Harry Potter and the Order of the Phoenix;Wii;2007;Action;Electronic Arts;19
4084;Scene It? Lights Camera Action;X360;2007;Misc;Microsoft Game Studios;19
4086;Scrabble 2007 Edition;DS;2007;Puzzle;Ubisoft;20
4087;Shrek the Third;PS2;2007;Action;Activision;19
4092;The Sims 2: Pets;Wii;2007;Simulation;Electronic Arts;19
4119;Bratz: The Movie;PS2;2007;Simulation;THQ;20
4132;Spider-Man 3;Wii;2007;Platform;Activision;19
4134;Dynasty Warriors Gundam;PS3;2007;Action;Tecmo Koei;19
4179;Shadowrun;X360;2007;Role-Playing;Microsoft Game Studios;19
4183;Crazy Taxi: Fare Wars;PSP;2007;Racing;Sega;20
4185;Spider-Man 3;DS;2007;Platform;Activision;19
4205;Spider-Man: Friend or Foe;DS;2007;Action;Activision;19
4221;Crayola: Treasure Adventures;DS;2007;Puzzle;Ignition Entertainment;19
4225;Imagine: Figure Skater (US sales);DS;2007;Sports;Ubisoft;19
4227;Metal Gear Solid: The Essential Collection;PS2;2007;Adventure;Konami Digital Entertainment;20
4230;MX vs. ATV Untamed;PS3;2007;Racing;THQ;19
4237;Crash of the Titans;Wii;2007;Action;Vivendi Games;19
4241;Syphon Filter: Logan's Shadow;PSP;2007;Shooter;Sony Computer Entertainment;20
4253;SingStar Amped;PS2;2007;Misc;Sony Computer Entertainment;20
4286;The Golden Compass;X360;2007;Action;Sega;19
4292;Burnout Dominator;PSP;2007;Racing;Electronic Arts;20
4306;Pirates of the Caribbean: At World's End;Wii;2007;Action;Disney Interactive Studios;19
4317;Barbie as The Island Princess;Wii;2007;Adventure;Activision;19
4325;The New York Times Crosswords;DS;2007;Puzzle;Majesco Entertainment;19
4343;Sega Rally Revo;X360;2007;Racing;Sega;20
4347;Thrillville: Off the Rails;Wii;2007;Strategy;LucasArts;19
4351;My Fashion Studio;DS;2007;Misc;Ubisoft;19
4371;Petz: Catz 2;Wii;2007;Simulation;Ubisoft;19
4372;Bee Movie Game;DS;2007;Action;Activision;19
4389;Tony Hawk's Proving Ground;PS3;2007;Sports;Activision;19
4393;Worms: Open Warfare 2;PSP;2007;Strategy;THQ;20
4447;My Spanish Coach;DS;2007;Misc;Ubisoft;19
4448;The Darkness;X360;2007;Shooter;Take-Two Interactive;19
4459;Super Robot Taisen OG: Original Generations;PS2;2007;Strategy;Banpresto;20
4461;Petz: Horsez 2;DS;2007;Simulation;Ubisoft;19
4462;Puppy Luv: Spa and Resort;DS;2007;Simulation;Activision;19
4484;Nicktoons: Attack of the Toybots;Wii;2007;Platform;THQ;19
4489;SpongeBob's Atlantis SquarePantis;PS2;2007;Action;THQ;19
4490;Dragon Ball Z: Shin Budokai - Another Road;PSP;2007;Fighting;Atari;20
4532;Command & Conquer 3: Tiberium Wars;X360;2007;Strategy;Electronic Arts;19
4546;Def Jam Icon;PS3;2007;Action;Electronic Arts;20
4560;Petz: Horsez 2;Wii;2007;Simulation;Ubisoft;19
4566;Pirates of the Caribbean: At World's End;PSP;2007;Action;Disney Interactive Studios;20
4575;The Legend of Spyro: The Eternal Night;PS2;2007;Platform;Vivendi Games;20
4592;Medal of Honor Heroes 2;Wii;2007;Shooter;Electronic Arts;19
4593;Yu-Gi-Oh! GX: Tag Force 2;PSP;2007;Strategy;Konami Digital Entertainment;20
4606;Avatar: The Last Airbender - The Burning Earth;PS2;2007;Action;THQ;20
4608;NiGHTS: Journey of Dreams;Wii;2007;Platform;Sega;19
4617;Solitaire Overload;DS;2007;Misc;Telegames;19
4642;Thrillville: Off the Rails;PS2;2007;Strategy;LucasArts;20
4655;Zack & Wiki: Quest for Barbaros' Treasure;Wii;2007;Adventure;Nintendo;20
4666;Pirates of the Caribbean: At World's End;PS2;2007;Action;Disney Interactive Studios;20
4670;Castlevania: The Dracula X Chronicles;PSP;2007;Platform;Konami Digital Entertainment;20
4675;TimeShift;X360;2007;Shooter;Vivendi Games;19
4690;Crash of the Titans;PS2;2007;Action;Vivendi Games;19
4691;BioShock;PC;2007;Shooter;Take-Two Interactive;20
4692;Cars: Mater-National Championship;PS3;2007;Racing;THQ;19
4708;Itadaki Street DS;DS;2007;Misc;Square Enix;20
4712;300: March to Glory;PSP;2007;Action;Warner Bros. Interactive Entertainment;19
4735;Rogue Galaxy: Director's Cut;PS2;2007;Role-Playing;Sony Computer Entertainment;20
4785;Beowulf: The Game;X360;2007;Action;Ubisoft;19
4789;Overlord;X360;2007;Strategy;Codemasters;19
4791;Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions);PS3;2007;Action;Activision;19
4819;TMNT;Wii;2007;Action;Ubisoft;19
4837;Hot Wheels: Beat That!;PS2;2007;Racing;Activision;20
4840;Brunswick Pro Bowling;PS2;2007;Sports;505 Games;20
4851;Diner Dash: Sizzle & Serve;DS;2007;Puzzle;Eidos Interactive;19
4855;Tomb Raider: Anniversary;X360;2007;Action;Eidos Interactive;20
4873;Naruto: Path of the Ninja;DS;2007;Role-Playing;D3Publisher;19
4881;Fantastic Four: Rise of the Silver Surfer;PS2;2007;Action;Take-Two Interactive;20
4885;Juiced 2: Hot Import Nights;PS2;2007;Racing;THQ;20
4891;Brunswick Pro Bowling;Wii;2007;Sports;505 Games;19
4957;The Dog Island;Wii;2007;Adventure;Ubisoft;19
4967;Tiger Woods PGA Tour 08;PS2;2007;Sports;Electronic Arts;20
4976;Jam Sessions: Sing and Play Guitar (US sales);DS;2007;Misc;Ubisoft;19
4991;Looney Tunes: Acme Arsenal;PS2;2007;Action;Warner Bros. Interactive Entertainment;20
4994;SD Gundam G Generation Spirits;PS2;2007;Strategy;Namco Bandai Games;20
5005;Tamagotchi Connection: Corner Shop 3;DS;2007;Simulation;Atari;20
5010;Skate;PS3;2007;Sports;Electronic Arts;19
5013;NCAA Football 08;PS3;2007;Sports;Electronic Arts;19
5048;MX vs. ATV Untamed;PS2;2007;Racing;THQ;19
5051;Tiger Woods PGA Tour 08;PSP;2007;Sports;Electronic Arts;20
5092;The Legend of Spyro: The Eternal Night;DS;2007;Platform;Vivendi Games;19
5099;Kingdom Under Fire: Circle of Doom;X360;2007;Role-Playing;Microsoft Game Studios;20
5101;The BIGS;Wii;2007;Sports;Take-Two Interactive;19
5121;Spider-Man: Friend or Foe;PS2;2007;Action;Activision;19
5124;Juiced 2: Hot Import Nights;PSP;2007;Racing;THQ;20
5133;Harry Potter and the Order of the Phoenix;PSP;2007;Action;Electronic Arts;20
5136;Kotoba no Puzzle: Mojipittan DS;DS;2007;Puzzle;Namco Bandai Games;20
5161;The Sims 2: Castaway;PS2;2007;Simulation;Electronic Arts;19
5166;My Horse & Me;DS;2007;Sports;Atari;19
5226;ATV/Monster Truck Mayhem;DS;2007;Racing;Destination Software, Inc;19
5229;Worms: Open Warfare 2;DS;2007;Strategy;THQ;20
5243;Chicken Shoot;Wii;2007;Action;Zoo Digital Publishing;19
5266;SOCOM: Tactical Strike;PSP;2007;Shooter;Sony Computer Entertainment;19
5276;Battalion Wars 2;Wii;2007;Strategy;Nintendo;20
